,day,avarage_hk,maximum_hk,minimum_hk,day,lowest_five_kospi2,day,highest_five_kospi2
55,2010-06-30,24352.7836510575,12992000.0,0.5,2010-06-30,1.067,2010-06-30,567000.0
56,2010-08-31,25735.2781925284,12928000.0,0.42,2010-08-31,1.18,2010-08-31,599000.0
57,2010-09-30,30772.260621622,16384000.0,0.41,2010-09-30,1.135,2010-09-30,688000.0
58,2010-11-30,29473.8424597123,15296000.0,0.35,2010-11-30,1.378,2010-11-30,810000.0
59,2010-12-31,23.1320148553553,857.14,0.33,2010-12-31,1.284,2010-12-31,227.05
60,2011-01-31,49415.9715922792,16256000.0,0.75,2011-01-31,1.329,2011-01-31,818000.0
61,2011-02-28,43887.0340217594,13696000.0,0.69,2011-02-28,1.508,2011-02-28,728000.0
62,2011-03-31,29437.9057296627,12992000.0,0.36,2011-03-31,1.317,2011-03-31,851000.0
63,2011-05-31,28641.7696598647,13312000.0,0.73,2011-05-31,1.298,2011-05-31,853000.0
64,2011-06-30,31072.838278709,15808000.0,0.69,2011-06-30,1.389,2011-06-30,1070000.0
65,2011-08-31,25072.1269160551,11289600.0,0.62,2011-08-31,1.25,2011-08-31,1164000.0
66,2011-09-30,21780.4375337829,8883200.0,0.49,2011-09-30,1.06,2011-09-30,1032000.0
67,2011-10-31,22537.8313939952,8883200.0,0.57,2011-10-31,1.22,2011-10-31,1151000.0
68,2011-11-30,20793.3940454266,7590400.0,0.59,2011-11-30,1.144,2011-11-30,1100000.0
69,2012-01-31,22009.3310565001,8460800.0,0.59,2012-01-31,0.964,2012-01-31,1270000.0
70,2012-02-29,23191.3617842418,9254400.0,0.64,2012-02-29,1.245,2012-02-29,1253217.0
71,2012-04-30,32786.3012615996,7296000.0,0.59,2012-04-30,1.31,2012-04-30,1026000.0
72,2012-05-31,17395.0917561855,5350400.0,0.56,2012-05-31,1.02,2012-05-31,790000.0
73,2012-07-31,17351.7161118464,5401600.0,0.57,2012-07-31,0.89,2012-07-31,805000.0
74,2012-08-31,17580.5193595903,5305600.0,0.58,2012-08-31,0.801,2012-08-31,894000.0
75,2012-10-31,18750.4164817044,6771200.0,0.55,2012-10-31,0.765,2012-10-31,1008000.0
76,2012-11-30,18413.7455917511,6489600.0,0.59,2012-11-30,0.883,2012-11-30,941000.0
77,2012-12-31,10.173766965429,172.744,0.6,2012-12-31,1.066,2012-12-31,116.2
78,2013-01-31,18670.331211377,6476800.0,0.65,2013-01-31,0.878,2013-01-31,968000.0
79,2013-02-28,27884.8104581458,6118400.0,0.63,2013-02-28,1.198,2013-02-28,1035000.0
80,2013-04-30,27768.0964520546,3929600.0,0.6,2013-04-30,1.66,2013-04-30,1165000.0
81,2013-05-31,16507.8378193274,3968000.0,0.61,2013-05-31,1.109,2013-05-31,1049000.0
82,2013-07-31,17667.6817085081,5798400.0,0.56,2013-07-31,1.143,2013-07-31,1076000.0
83,2013-09-30,17961.2785039231,5568000.0,0.57,2013-09-30,1.336,2013-09-30,1200000.0
84,2013-10-31,16539.8857382102,3744000.0,0.61,2013-10-31,1.4,2013-10-31,867000.0
85,2013-12-31,22.6462834821436,1215.0,0.62,2013-12-31,1.347,2013-12-31,368.0
86,2014-02-28,23870.6619892378,3264000.0,0.61,2014-02-28,1.31,2014-02-28,855000.0
87,2014-03-31,15056.5302996993,2137600.0,0.61,2014-03-31,1.32,2014-03-31,865000.0
88,2014-04-30,15126.114505754,1894400.0,0.6,2014-04-30,1.25,2014-04-30,916000.0
89,2014-06-30,14325.811281928,1754105.0,0.6,2014-06-30,1.323,2014-06-30,740814.0
90,2014-07-31,14865.8946529877,1848895.0,0.62,2014-07-31,1.629,2014-07-31,729071.0
91,2014-09-30,15593.888148036,2168186.0,0.67,2014-09-30,1.69,2014-09-30,745707.0
92,2014-10-31,14741.8047171659,1693240.0,0.73,2014-10-31,1.94,2014-10-31,649803.0
93,2014-12-31,25.7662528216687,2395.0,0.67,2014-12-31,2.173,2014-12-31,346.5
94,2015-03-31,15759.0138286762,1719183.0,0.7,2015-03-31,2.43,2015-03-31,736000.0
95,2015-04-30,16635.1370966189,2372732.0,0.77,2015-04-30,2.814,2015-04-30,743750.0
96,2015-06-30,19072.0988961525,2652111.0,0.74,2015-06-30,2.61,2015-06-30,886628.0
97,2015-07-31,18289.2107881564,2243020.0,0.71,2015-07-31,1.82,2015-07-31,891521.0
98,2015-08-31,18136.0283384516,2279938.0,0.64,2015-08-31,1.74,2015-08-31,1078437.0
99,2015-09-30,18031.9035253821,2406656.0,0.62,2015-09-30,1.67,2015-09-30,1039000.0
100,2015-11-30,17527.4567348164,2233042.0,0.59,2015-11-30,1.63,2015-11-30,1041000.0
101,2015-12-31,25.2823042505596,2270.0,0.62,2015-12-31,2.03,2015-12-31,287.62
102,2016-02-29,24997.6514041594,2070403.0,0.61,2016-02-29,1.66,2016-02-29,880757.0
103,2016-03-31,16587.8678338348,1814970.0,0.64,2016-03-31,1.65,2016-03-31,907000.0
104,2016-05-31,16224.2231363634,1937698.0,0.47,2016-05-31,1.52,2016-05-31,894457.0
105,2016-06-30,15653.244156138,1782043.0,0.62,2016-06-30,1.66,2016-06-30,833783.0
106,2016-08-31,14751.484134558,1497675.0,0.66,2016-08-31,1.71,2016-08-31,704000.0
107,2016-09-30,14975.069499106,1596455.0,0.64,2016-09-30,1.7,2016-09-30,750000.0
108,2016-10-31,14067.6801017751,1536588.0,0.65,2016-10-31,1.72,2016-10-31,676225.0
109,2016-11-30,14066.6274403768,1563528.0,0.65,2016-11-30,2.0,2016-11-30,722000.0
110,2017-01-31,71765.8905775076,1445790.0,298.0,2017-01-31,1270.0,2017-01-31,729000.0
111,2017-02-28,21432.3913010655,1504659.0,0.65,2017-02-28,2.221,2017-02-28,769000.0
112,2017-03-31,14150.2017353805,1411865.0,0.67,2017-03-31,2.069,2017-03-31,811000.0
113,2017-05-31,16026.6679071805,1801999.0,0.67,2017-05-31,1.68,2017-05-31,851000.0
114,2017-06-30,15841.2917852104,1710203.0,0.67,2017-06-30,1.72,2017-06-30,790000.0
115,2017-07-31,15926.6584850795,1611422.0,0.67,2017-07-31,1.85,2017-07-31,783000.0
116,2017-08-31,15671.2411543859,1543573.0,0.68,2017-08-31,2.16,2017-08-31,761000.0
117,2017-09-30,48.300899280575,5375.0,2.65,2017-09-30,4.64,2017-09-30,295.0
118,2017-10-31,15810.29198484,1383000.0,0.67,2017-10-31,2.29,2017-10-31,759000.0
119,2017-11-30,16028.8522272731,1269000.0,0.66,2017-11-30,2.13,2017-11-30,794000.0
120,2018-01-31,17158.4290579375,1516000.0,0.67,2018-01-31,2.12,2018-01-31,770000.0
121,2018-02-28,23718.2179529914,1554000.0,0.66,2018-02-28,2.11,2018-02-28,707000.0
122,2018-03-31,47.2249466192178,3350.0,2.28,2018-03-31,4.25,2018-03-31,405.0
123,2018-04-30,27330.0234502416,1620000.0,0.67,2018-04-30,1.84,2018-04-30,794000.0
124,2018-05-31,15983.1192011555,1583000.0,0.69,2018-05-31,1.46,2018-05-31,806000.0
125,2018-07-31,15318.3318247127,1464000.0,0.66,2018-07-31,1.25,2018-07-31,882000.0
126,2018-08-31,15366.271081562,1610000.0,0.67,2018-08-31,1.16,2018-08-31,726000.0
127,2018-10-31,13460.1000155258,1476000.0,0.61,2018-10-31,1.03,2018-10-31,657000.0
128,2018-11-30,14035.8763925287,1464000.0,0.64,2018-11-30,1.14,2018-11-30,724000.0
129,2018-12-31,23.1285714285715,314.0,0.6,2018-12-31,1.23,2018-12-31,88.75
